timestamp,api-status,web-status,api-latency,web-latency
1687941328,200,200,0.255175,0.837070
1687941838,200,200,0.353228,0.919907
1687942289,200,200,0.402896,2.862285
1687942660,200,200,0.259163,0.737210
1687942726,200,200,0.247078,0.575106
1687943081,502,502,0.363853,0.240501
1687943304,502,502,0.354354,0.269955
1687944226,502,502,0.321703,0.238355
1687944704,502,502,0.235776,0.220194
1687945152,502,502,0.247193,0.246204
1687945606,502,502,0.146464,0.251301
1687946057,502,502,0.225872,0.299626
1687946906,200,200,0.352783,0.750314
1687948183,200,200,0.393295,0.924760
1687948857,200,200,0.215453,0.531450
1687948924,200,200,0.244627,0.690184
1687949031,200,200,0.364374,0.969130
1687949123,200,200,0.151680,0.856695
1687949548,200,200,0.159613,0.612470
1687950583,502,502,0.257272,0.314239
1687951369,502,502,0.239880,0.249310
1687952067,502,502,0.154849,0.241240
1687952757,200,200,0.148916,0.536810
1687953436,200,200,0.142744,0.632493
1687956286,200,200,0.240639,0.496493
1687957994,200,200,0.285923,0.915145
1687959242,200,200,0.396385,0.962709
1687959920,200,200,0.259793,0.549736
1687960599,200,200,0.314822,0.724571
1687961902,200,200,0.317419,0.823719
1687962738,200,200,0.508054,1.255922
1687963419,200,200,0.561189,1.114973
1687964093,200,200,0.261439,0.610314
1687965401,200,200,0.127100,1.140829
1687966219,200,200,0.415384,1.155879
1687966906,200,200,0.376017,0.877638
1687967586,200,200,0.320050,0.871823
1687968983,200,200,0.269268,1.132343
1687970366,200,200,0.146189,0.739883
1687971049,200,200,0.243592,0.607786
1687972050,200,200,0.286551,0.852845
1687973231,200,200,0.148910,0.684769
1687973918,200,200,0.305334,0.959638
1687974608,200,200,0.408808,1.075313
1687975742,200,200,0.262875,0.714035
1687977054,200,200,0.142845,0.696607
1687977810,200,200,0.284356,0.966914
1687978487,200,200,0.240273,0.705570
1687979552,200,200,0.303801,0.639155
1687980249,200,200,0.374246,1.190625
1687980932,200,200,0.396410,0.856712
1687981614,200,200,0.572568,1.064881
1687982295,200,200,0.476670,1.005488
1687983693,200,200,0.252245,0.725666
1687984422,200,200,0.304861,0.763743
1687985104,200,200,3.857306,2.105754
1687985778,200,200,0.285332,0.695586
1687986973,200,200,0.527596,1.262418
1687987659,200,200,0.408317,1.034093
1687988338,200,200,0.380496,0.943341
1687989015,200,502,0.154192,0.312337
1687990023,200,502,0.327263,0.273359
1687991309,200,200,0.308927,0.707107
1687992005,200,200,0.307192,0.898204
1687992694,502,502,0.235812,0.233119
1687993779,200,200,0.276435,0.860339
1687994780,200,200,0.298310,0.741319
1687995497,200,200,0.300238,0.841722
1687996176,200,200,0.264558,0.756759
1687999038,200,200,0.236440,0.758354
1688004882,200,200,0.147396,0.596584
1688007794,200,200,0.291911,0.796625
1688009444,200,200,0.245132,0.645450
1688010221,200,200,0.291901,1.198346
1688010905,200,200,0.317694,0.866849
1688012406,200,200,0.252225,0.841422
1688013421,200,200,0.506372,1.101407
1688014104,200,200,0.237787,0.536233
1688014784,200,200,0.300195,0.863927
1688016155,200,200,0.502831,0.861708
1688016953,200,200,0.302068,0.924689
1688017632,200,200,0.104726,0.472567
1688018318,200,200,0.401548,1.119701
1688020080,200,200,0.403971,0.898092
1688021001,200,200,0.254282,0.909772
1688021683,200,200,0.222555,1.048544
1688022883,200,200,0.150882,0.684214
1688023594,200,502,0.270335,0.242926
1688024279,200,200,0.264977,0.767355
1688024963,200,200,0.380723,1.028423
1688026080,200,200,0.283161,1.019576
1688027489,200,504,0.238693,30.227190
1688028233,200,200,0.119080,0.787672
1688028909,200,200,0.131067,0.535076
1688030211,200,200,0.408476,0.813419
1688030941,200,200,0.147651,0.543457
1688031639,200,200,0.540975,1.131347
1688032317,200,200,0.451838,1.121415
1688033486,200,200,0.215415,0.522286
1688034758,200,200,0.259024,0.658756
1688035438,200,200,0.157363,0.551068
1688036119,200,200,0.398162,1.055257
1688037208,200,200,0.268894,0.935659
1688037893,200,200,0.126249,1.254603
1688038595,200,200,0.534359,1.036719
1688039271,200,200,0.230037,0.582384
1688039958,200,200,0.153267,0.549169
1688042549,200,200,0.561685,1.128436
1688044213,200,200,0.321576,1.036840
1688045592,200,200,0.375427,0.945787
1688046280,200,200,0.220539,0.656537
1688046962,200,200,0.285366,0.792473
1688048165,200,200,0.416882,1.554505
1688048961,200,200,0.318689,0.973484
1688049654,200,200,0.377662,0.875180
1688050340,200,200,0.331191,0.976096
1688051464,200,200,0.133729,0.638770
1688052430,200,200,0.154863,0.647383
1688053115,200,200,0.240878,0.496943
1688053814,200,200,0.290990,0.867592
1688054916,200,200,0.486875,1.183288
1688056363,200,200,0.384045,0.851261
1688057138,200,200,0.244673,0.579932
1688057824,502,200,0.350207,0.238839
1688059069,200,200,0.439791,0.932851
1688059831,200,200,0.187162,0.645686
1688062765,200,200,0.547969,1.128234
1688062814,200,200,0.236241,0.649019
1688063828,200,200,0.240222,0.744103
1688064516,200,200,4.485308,2.252101
1688065206,502,200,0.395931,5.302221
1688066206,200,200,0.351688,1.032480
1688066891,200,200,0.316858,0.726930
1688067582,200,200,9.794221,3.429372
1688068259,200,200,0.310908,0.643209
1688069330,200,200,0.391830,1.029256
1688070340,200,200,0.401674,1.109436
1688071027,200,200,0.390066,0.798514
1688071708,200,200,0.230377,0.622354
1688072387,200,200,0.377093,0.990815
1688073494,200,200,0.402318,1.108571
1688074172,200,200,0.502655,1.050326
1688074858,502,200,0.413595,0.313754
1688075543,200,200,0.357053,0.707874
1688076614,200,200,0.411158,1.365169
1688077714,200,200,0.508658,1.130238
1688078385,200,200,0.313166,0.607292
1688079067,200,200,0.278956,0.842308
1688080141,200,200,0.150563,0.689658
1688081110,200,200,0.253874,0.629477
1688081811,200,200,0.381144,0.798598
1688082502,200,200,0.521299,1.113786
1688083185,200,200,0.395225,0.866749
1688090122,200,200,0.481111,1.108364
1688093521,200,200,0.388788,0.874824
1688094947,200,200,0.156990,0.807311
1688095916,200,200,0.512218,1.070392
1688096611,200,200,0.354425,1.093529
1688097297,200,200,0.390157,1.093643
1688098753,200,200,0.148015,0.556904
1688099688,200,200,0.261746,0.600206
1688100375,200,200,0.265568,0.599783
1688101053,200,200,0.364080,0.814685
1688102409,200,200,0.315200,0.630314
1688103168,200,200,0.153336,0.522175
1688103845,200,200,0.611597,1.053903
1688104531,200,200,0.383020,0.992874
1688106150,200,200,0.322009,0.689341
1688107094,200,200,0.281677,0.853709
1688107773,200,200,0.379151,1.051933
1688108620,200,200,0.238692,1.096173
1688109636,200,200,0.291859,0.944322
1688110342,200,200,0.447065,1.084076
1688111026,200,200,0.363159,1.044923
1688111702,200,200,0.529996,1.139903
1688113190,200,200,0.333507,0.805182
1688114085,200,200,0.385491,0.911045
1688114778,200,200,0.386815,0.974243
1688115461,200,200,0.240684,0.729009
1688116763,200,200,0.317783,1.039104
1688117438,200,200,0.298356,0.664205
1688118118,200,200,0.531679,1.211842
1688118806,200,200,0.237834,0.721402
